band,intercept,coef1,coef2,sat,fit
Blue,-3.951234220083766e-4,0.9763795917378953,0.3038286845094439,LT05,98_quant
Red,-0.0031735547469243317,0.9711655973002483,0.4676675417607477,LT05,98_quant
Green,-0.0022602298638171657,0.9508250624471659,0.2593102243922416,LT05,98_quant
Nir,-0.004212266687971154,1.0001334331396594,0.07537535462066138,LT05,98_quant
Swir1,5.880527109094612e-5,0.8133921565565575,2.1335995542104476,LT05,98_quant
Swir2,-6.695463530450777e-5,0.8443044968881345,2.2322026272951723,LT05,98_quant
Blue,0,1,0,LE07,NA
Red,0,1,0,LE07,NA
Green,0,1,0,LE07,NA
Nir,0,1,0,LE07,NA
Swir1,0,1,0,LE07,NA
Swir2,0,1,0,LE07,NA
Blue,0.011543665184443929,1.032669005260074,2.832780363574971,LC08,98_quant
Red,0.00593027520476797,1.0797190492303546,-0.7951020094430122,LC08,98_quant
Green,0.0066073518087937265,0.9945482672422541,0.20181649885506153,LC08,98_quant
Nir,0.010943510288037873,1.1718656845364328,-1.1946779941217927,LC08,98_quant
Swir1,0.0017241509166717836,1.1341253986141262,-2.380094311683629,LC08,98_quant
Swir2,4.990880862200949e-4,1.1059731431852526,-2.2481654707262586,LC08,98_quant
Blue,0.011543665184443929,1.032669005260074,2.832780363574971,LC09,98_quant
Red,0.00593027520476797,1.0797190492303546,-0.7951020094430122,LC09,98_quant
Green,0.0066073518087937265,0.9945482672422541,0.20181649885506153,LC09,98_quant
Nir,0.010943510288037873,1.1718656845364328,-1.1946779941217927,LC09,98_quant
Swir1,0.0017241509166717836,1.1341253986141262,-2.380094311683629,LC09,98_quant
Swir2,4.990880862200949e-4,1.1059731431852526,-2.2481654707262586,LC09,98_quant
